Measurement outcome,Frequency
0x0,313
0x1,301
0x3,1
0x4,290
0x5,298
0x9,1
0x10,287
0x11,320
0x14,283
0x15,321
0x20,1
0x24,1
0x30,1
0x34,1
0x40,299
0x41,311
0x44,327
0x45,331
0x46,1
0x50,295
0x51,320
0x54,307
0x55,308
0x57,1
0x7c,1
0x100,352
0x101,312
0x104,312
0x105,327
0x110,314
0x111,327
0x114,307
0x115,324
0x140,299
0x141,347
0x144,303
0x145,294
0x150,315
0x151,333
0x152,2
0x154,308
0x155,321
0x157,1
0x158,1
0x161,1
0x200,2
0x215,1
0x244,1
0x245,1
0x255,1
0x400,299
0x401,298
0x404,334
0x405,324
0x410,340
0x411,297
0x414,285
0x415,301
0x421,2
0x431,1
0x440,331
0x441,322
0x444,304
0x445,331
0x450,319
0x451,307
0x453,1
0x454,331
0x455,294
0x45d,1
0x464,1
0x465,1
0x500,316
0x501,329
0x504,315
0x505,310
0x510,311
0x511,319
0x512,1
0x514,292
0x515,297
0x525,1
0x540,339
0x541,326
0x543,1
0x544,300
0x545,296
0x547,1
0x550,265
0x551,335
0x554,292
0x555,291
0x571,1
0x601,1
0x604,1
0x605,1
0x614,1
0x615,1
0x651,1
0x655,1
0x745,1
0x818,1
0x919,1
0xc48,1
0xd49,1
